NAME,density_100km2,AREA_KM2
Suriname,0.06807350051270175,146900.04076012093
Somalia,0.06253878811034437,479702.292073002
Canada,0.05735352518315009,51086659.28804679
Sweden,0.0554781965371926,2163011.9126088023
Afghanistan,0.05347609185154284,934997.2720296584
Guyana,0.04665654015909243,214332.22364756078
Norway,0.034979775534102774,3430553.746207108
Mauritania,0.025270067263573875,1187175.312479053
Antarctica,5.877442487248714e-06,8507101534.12415
Dhekelia,0.0,190.4184414484173
Palau,0.0,503.20869779628265
American Samoa,0.0,193.08655634534318
Niue,0.0,248.17845144647248
Falkland Is.,0.0,30190.318509235756
S. Geo. and the Is.,0.0,11720.13812558794
Micronesia,0.0,647.9050802148325
Cyprus,0.0,8042.29197480796
USNB Guantanamo Bay,0.0,74.32755298670578
Guam,0.0,600.0301835179623
Montenegro,0.0,25502.089710695007
Brazilian I.,0.0,3.7930969795730123
Andorra,0.0,833.5607759553911
Djibouti,0.0,22935.279580688573
San Marino,0.0,116.34757502983312
Liechtenstein,0.0,296.4752492604296
N. Mariana Is.,0.0,632.800656242537
Bajo Nuevo Bank,0.0,0.03895603986652728
Ashmore and Cartier Is.,0.0,2.8437840374214574
Macao,0.0,35.23246281334579
Clipperton I.,0.0,5.19965929591187
Spratly Is.,0.0,12.47420953409439
Coral Sea Is.,0.0,0.02391568376058839
Monaco,0.0,36.103299439527355
Brunei,0.0,5790.692467732238
Luxembourg,0.0,6245.793615197187
Akrotiri,0.0,146.10745327487822
Cyprus U.N. Buffer Zone,0.0,510.6252395538771
Siachen Glacier,0.0,3147.4637689209785
Southern Patagonian Ice Field,0.0,3338.6812226061465
Estonia,0.0,169006.1485778007
Bir Tawil,0.0,2356.442064114
Vatican,0.0,0.02204708768576837
Gibraltar,0.0,5.671709057463881
Eq. Guinea,0.0,26877.896081143717
Hong Kong,0.0,1217.7750754295973
Curaçao,0.0,487.85278515922903
Turks and Caicos Is.,0.0,518.8202964827988
Aruba,0.0,179.22150775850918
Fiji,0.0,20918.599191638015
New Caledonia,0.0,21816.493714788834
St-Martin,0.0,75.96759806708263
Pitcairn Is.,0.0,51.568345252203656
Fr. Polynesia,0.0,3624.974730540717
Fr. S. Antarctic Lands,0.0,16972.4552058936
Seychelles,0.0,444.9410959620859
Kiribati,0.0,958.7866318489124
Marshall Is.,0.0,168.59833073042824
Saint Lucia,0.0,646.0382401399831
Dominica,0.0,790.5463927208843
U.S. Minor Outlying Is.,0.0,30.532636430009767
Montserrat,0.0,109.21549254044601
St. Pierre and Miquelon,0.0,520.335748220904
Bhutan,0.0,51504.2291589955
Iceland,0.0,571227.5401583432
Sint Maarten,0.0,25.976930148999
Greenland,0.0,35187509.66474609
Anguilla,0.0,97.42799848350836
St-Barthélemy,0.0,27.1187873586784
U.S. Virgin Is.,0.0,394.3123870744927
St. Kitts and Nevis,0.0,291.2660347793398
Antigua and Barb.,0.0,498.36111537194915
British Virgin Is.,0.0,162.05087166821474
Bermuda,0.0,87.47249405052321
Cayman Is.,0.0,349.48745779394363
Malta,0.0,497.6536453415954
Cabo Verde,0.0,4272.56673748406
São Tomé and Principe,0.0,1044.2871021620567
Comoros,0.0,1757.108549700541
Saint Helena,0.0,478.7078567231412
Jersey,0.0,278.7982355468044
Somaliland,0.0,173457.8673295654
W. Sahara,0.0,109463.26787124504
Guernsey,0.0,175.11944526949628
Isle of Man,0.0,1678.7047359696587
Åland,0.0,3798.279872124758
Faeroe Is.,0.0,6034.81410249329
Indian Ocean Ter.,0.0,116.6570583175274
Br. Indian Ocean Ter.,0.0,50.16098209361782
Singapore,0.0,514.229085447699
Norfolk Island,0.0,54.017712564930775
Cook Is.,0.0,217.8340928474093
Wallis and Futuna Is.,0.0,148.55188745266526
Samoa,0.0,2964.661543611102
Tuvalu,0.0,23.60563285153325
Maldives,0.0,110.12803876781558
Nauru,0.0,28.963159752691517
Serranilla Bank,0.0,0.1144447132647504
Scarborough Reef,0.0,0.10556744157036331
